,loss,accuracy,val_loss,val_accuracy,lr
0,0.9662060141563416,0.8084604144096375,1.3065500259399414,0.6148256063461304,0.0002
1,0.6710361838340759,0.8464052081108093,0.24921926856040955,0.9331395626068115,0.0002
2,0.5135915875434875,0.865649938583374,0.2802143692970276,0.9418604373931885,0.0002
3,0.46893274784088135,0.8714597225189209,0.2238161861896515,0.9476743936538696,0.0002
4,0.389009952545166,0.887981116771698,0.2665601968765259,0.9316860437393188,0.0002
5,0.3325198292732239,0.8977850675582886,0.18567220866680145,0.9418604373931885,9.5e-05
6,0.3199353814125061,0.8990558981895447,0.17708027362823486,0.9462209343910217,9.025e-05
7,0.2732161581516266,0.9110385179519653,0.1636454313993454,0.9520348906517029,8.57375e-05
8,0.2811982035636902,0.9084967374801636,0.15479063987731934,0.9476743936538696,8.145063e-05
9,0.2645726203918457,0.9164851307868958,0.1561606228351593,0.9549418687820435,7.737809e-05
10,0.24696655571460724,0.9241104125976562,0.13833871483802795,0.9549418687820435,7.350919e-05
11,0.2638213634490967,0.9144880175590515,0.1430731862783432,0.9593023061752319,6.983373e-05
12,0.24722836911678314,0.9237473011016846,0.16404084861278534,0.9520348906517029,6.634204e-05
13,0.240291029214859,0.9215686321258545,0.13254357874393463,0.9520348906517029,6.302494e-05
14,0.22958309948444366,0.9250181317329407,0.16530904173851013,0.9476743936538696,5.9873695e-05
15,0.22498321533203125,0.924655020236969,0.14351528882980347,0.9534883499145508,5.688001e-05
16,0.20901058614253998,0.929193913936615,0.1378992199897766,0.9549418687820435,5.403601e-05
17,0.22072622179985046,0.9295570254325867,0.16894377768039703,0.9520348906517029,5.133421e-05
18,0.20540185272693634,0.9326434135437012,0.15139278769493103,0.9549418687820435,4.87675e-05
19,0.2023668736219406,0.9351851940155029,0.1522810459136963,0.9520348906517029,4.632912e-05
,0,1,2
0,221,7,0
1,5,225,1
2,5,23,203
,pneumonia,covid,normal,accuracy,macro avg,weighted avg
precision,0.9567099567099567,0.8823529411764706,0.9950980392156863,0.9405797101449276,0.9447203123673712,0.9446681834789252
recall,0.9692982456140351,0.974025974025974,0.8787878787878788,0.9405797101449276,0.9407040328092959,0.9405797101449276
f1-score,0.9629629629629631,0.9259259259259258,0.9333333333333332,0.9405797101449276,0.9407407407407407,0.9406441223832529
support,228.0,231.0,231.0,0.9405797101449276,690.0,690.0
,loss,accuracy,val_loss,val_accuracy,lr
0,0.2569248378276825,0.9204792976379395,0.16798020899295807,0.9491279125213623,0.0002
1,0.27537891268730164,0.9168482422828674,0.18893596529960632,0.944767415523529,0.0002
2,0.27831369638442993,0.9153957962989807,0.2444000393152237,0.9273256063461304,0.0002
3,0.2644914984703064,0.9195715188980103,0.1441062092781067,0.9520348906517029,0.0002
4,0.2567553222179413,0.9123093485832214,0.2059512436389923,0.9360465407371521,0.0002
5,0.20471522212028503,0.9319171905517578,0.1349676102399826,0.9607558250427246,4.4012668e-05
6,0.19974876940250397,0.9315540790557861,0.12943321466445923,0.9636628031730652,4.1812033e-05
7,0.1909138709306717,0.9386346936225891,0.128634974360466,0.9593023061752319,3.972143e-05
8,0.18492992222309113,0.936274528503418,0.13972319662570953,0.9505813717842102,3.773536e-05
9,0.18993407487869263,0.9366376399993896,0.13741089403629303,0.9520348906517029,3.5848592e-05
10,0.16579264402389526,0.9455337524414062,0.1228962168097496,0.9593023061752319,3.4056164e-05
11,0.17648445069789886,0.9435366988182068,0.12751752138137817,0.9563953280448914,3.2353353e-05
12,0.18849387764930725,0.9386346936225891,0.12350291013717651,0.9593023061752319,3.0735686e-05
13,0.1727932244539261,0.9424473643302917,0.12764979898929596,0.9534883499145508,2.9198902e-05
14,0.16589798033237457,0.9435366988182068,0.12963610887527466,0.9534883499145508,2.7738957e-05
15,0.17954012751579285,0.9400871396064758,0.1255546510219574,0.9593023061752319,2.6352009e-05
16,0.1619054526090622,0.946986198425293,0.12490252405405045,0.9636628031730652,2.503441e-05
17,0.16868524253368378,0.9451706409454346,0.11708395928144455,0.9622092843055725,2.3782688e-05
18,0.15903131663799286,0.9482570886611938,0.13406170904636383,0.9534883499145508,2.2593555e-05
19,0.16021160781383514,0.9448075294494629,0.12887749075889587,0.957848846912384,2.1463877e-05
,0,1,2
0,222,6,0
1,7,222,2
2,3,21,207
,pneumonia,covid,normal,accuracy,macro avg,weighted avg
precision,0.9568965517241379,0.891566265060241,0.9904306220095693,0.9434782608695652,0.9462978129313161,0.9462517314583039
recall,0.9736842105263158,0.961038961038961,0.8961038961038961,0.9434782608695652,0.9436090225563909,0.9434782608695652
f1-score,0.9652173913043478,0.9249999999999999,0.9409090909090909,0.9434782608695652,0.9437088274044796,0.9436153119092627
support,228.0,231.0,231.0,0.9434782608695652,690.0,690.0
,loss,accuracy,val_loss,val_accuracy,lr
0,0.2118484377861023,0.9290123581886292,0.18367204070091248,0.9375,0.0002
1,0.21344782412052155,0.9322803020477295,0.15244513750076294,0.9593023061752319,0.0002
2,0.2158084511756897,0.9301016926765442,0.18715763092041016,0.9491279125213623,0.0002
3,0.21924346685409546,0.9304648041725159,0.1761765480041504,0.9389534592628479,0.0002
4,0.2263689935207367,0.9286492466926575,0.17649424076080322,0.9534883499145508,0.0002
5,0.17903941869735718,0.9406318068504333,0.12738557159900665,0.9622092843055725,2.0390682e-05
6,0.17696574330329895,0.9431735873222351,0.11809036135673523,0.9622092843055725,1.9371148e-05
7,0.16679182648658752,0.9457153081893921,0.11856765300035477,0.9651162624359131,1.840259e-05
8,0.16285128891468048,0.9466230869293213,0.11985117942094803,0.9622092843055725,1.7482462e-05
9,0.1616714745759964,0.9428104758262634,0.13036400079727173,0.9593023061752319,1.660834e-05
10,0.14553575217723846,0.9509803652763367,0.12075605988502502,0.9607558250427246,1.5777921e-05
11,0.16834156215190887,0.9440813064575195,0.12048196792602539,0.9622092843055725,1.4989026e-05
12,0.16222509741783142,0.9437182545661926,0.12322962284088135,0.957848846912384,1.4239574e-05
13,0.16224120557308197,0.9473493099212646,0.11788109689950943,0.9651162624359131,1.3527595e-05
14,0.15265662968158722,0.9511619210243225,0.11800114810466766,0.9636628031730652,1.2851216e-05
15,0.1608269363641739,0.9455337524414062,0.12248750030994415,0.9593023061752319,1.2208655e-05
16,0.14262762665748596,0.954066812992096,0.11980640888214111,0.9651162624359131,1.1598222e-05
17,0.15013937652111053,0.948075532913208,0.1204838976264,0.9607558250427246,1.1018311e-05
18,0.14574481546878815,0.9515250325202942,0.12542162835597992,0.9622092843055725,1.0467395e-05
19,0.14902305603027344,0.9488017559051514,0.12075762450695038,0.9622092843055725,9.944026e-06
,0,1,2
0,223,5,0
1,7,220,4
2,1,20,210
,pneumonia,covid,normal,accuracy,macro avg,weighted avg
precision,0.9653679653679653,0.8979591836734694,0.9813084112149533,0.946376811594203,0.9482118534187961,0.9481372616277127
recall,0.9780701754385965,0.9523809523809523,0.9090909090909091,0.946376811594203,0.946514012303486,0.946376811594203
f1-score,0.971677559912854,0.9243697478991597,0.9438202247191011,0.946376811594203,0.9466225108437049,0.9465135758477521
support,228.0,231.0,231.0,0.946376811594203,690.0,690.0
,loss,accuracy,val_loss,val_accuracy,lr
0,0.19265855848789215,0.938816249370575,0.13970012962818146,0.9505813717842102,0.0002
1,0.20570479333400726,0.9311909675598145,0.15052829682826996,0.9593023061752319,0.0002
2,0.19406341016292572,0.9370007514953613,0.14168480038642883,0.9665697813034058,0.0002
3,0.20714689791202545,0.9357298612594604,0.15500806272029877,0.9491279125213623,0.0002
4,0.18242526054382324,0.9419026970863342,0.13864904642105103,0.9607558250427246,0.0002
5,0.17723150551319122,0.9458968639373779,0.13232086598873138,0.9549418687820435,9.446824e-06
6,0.1633339673280716,0.9442628622055054,0.12150908261537552,0.9607558250427246,8.9744835e-06
7,0.16212835907936096,0.9440813064575195,0.12715253233909607,0.9636628031730652,8.525759e-06
8,0.15620240569114685,0.9475308656692505,0.12320436537265778,0.9636628031730652,8.099471e-06
9,0.14752733707427979,0.9522512555122375,0.12164708226919174,0.9636628031730652,7.694498e-06
10,0.15120232105255127,0.9518881440162659,0.12174242734909058,0.9622092843055725,7.3097726e-06
11,0.15349876880645752,0.9504357576370239,0.12059881538152695,0.9622092843055725,6.944284e-06
12,0.15394741296768188,0.9506173133850098,0.12192414700984955,0.9622092843055725,6.59707e-06
13,0.14187435805797577,0.9538852572441101,0.11921273916959763,0.9622092843055725,6.267216e-06
14,0.14644981920719147,0.9488017559051514,0.11773461848497391,0.9622092843055725,5.9538556e-06
15,0.16072966158390045,0.9462599754333496,0.12080242484807968,0.9622092843055725,5.6561626e-06
16,0.14179855585098267,0.9497095346450806,0.12351907789707184,0.9622092843055725,5.3733547e-06
17,0.15390460193157196,0.9473493099212646,0.12471101433038712,0.9622092843055725,5.104687e-06
18,0.13325434923171997,0.9546114802360535,0.12080957740545273,0.9607558250427246,4.8494526e-06
19,0.14827845990657806,0.9488017559051514,0.12200921028852463,0.9622092843055725,4.60698e-06
,0,1,2
0,221,7,0
1,7,221,3
2,1,20,210
,pneumonia,covid,normal,accuracy,macro avg,weighted avg
precision,0.9650655021834061,0.8911290322580645,0.9859154929577465,0.9449275362318841,0.9473700091330723,0.9472930722067666
recall,0.9692982456140351,0.9567099567099567,0.9090909090909091,0.9449275362318841,0.9450330371383003,0.9449275362318841
f1-score,0.9671772428884027,0.9227557411273487,0.9459459459459459,0.9449275362318841,0.9452929766538992,0.9451978276702708
support,228.0,231.0,231.0,0.9449275362318841,690.0,690.0
,loss,accuracy,val_loss,val_accuracy,lr
0,0.1779772937297821,0.9424473643302917,0.14531320333480835,0.9520348906517029,0.0002
1,0.18932688236236572,0.9429920315742493,0.1445809155702591,0.957848846912384,0.0002
2,0.17505529522895813,0.9451706409454346,0.1457560658454895,0.9607558250427246,0.0002
3,0.19652025401592255,0.9379084706306458,0.12623019516468048,0.9651162624359131,0.0002
4,0.1824590414762497,0.940994918346405,0.16089971363544464,0.9534883499145508,0.0002
5,0.16690444946289062,0.9415395855903625,0.13375334441661835,0.9622092843055725,4.376631e-06
6,0.17220129072666168,0.9420842528343201,0.12795940041542053,0.9651162624359131,4.157799e-06
7,0.156705841422081,0.9449890851974487,0.12635137140750885,0.9665697813034058,3.9499096e-06
8,0.15297137200832367,0.9493464231491089,0.12478567659854889,0.9651162624359131,3.752414e-06
9,0.1510808914899826,0.9497095346450806,0.12310226261615753,0.9665697813034058,3.5647931e-06
10,0.14644095301628113,0.9511619210243225,0.12212017923593521,0.9651162624359131,3.3865535e-06
11,0.1521121859550476,0.9500726461410522,0.12032497674226761,0.9665697813034058,3.2172259e-06
12,0.15619076788425446,0.946986198425293,0.12206356972455978,0.9651162624359131,3.0563647e-06
13,0.15300245583057404,0.9515250325202942,0.11928358674049377,0.9665697813034058,2.9035464e-06
14,0.1403799057006836,0.956245481967926,0.11878449469804764,0.9636628031730652,2.758369e-06
15,0.14087805151939392,0.9526143670082092,0.11965867131948471,0.9651162624359131,2.6204507e-06
16,0.1394425928592682,0.9547930359840393,0.11918937414884567,0.9665697813034058,2.489428e-06
17,0.15914565324783325,0.9506173133850098,0.12077038735151291,0.9680232405662537,2.3649566e-06
18,0.14025138318538666,0.9529774785041809,0.1198740005493164,0.9651162624359131,2.2467088e-06
19,0.14864708483219147,0.946986198425293,0.12050658464431763,0.9651162624359131,2.1343733e-06
,0,1,2
0,223,5,0
1,6,222,3
2,1,20,210
,pneumonia,covid,normal,accuracy,macro avg,weighted avg
precision,0.9695652173913043,0.8987854251012146,0.9859154929577465,0.9492753623188406,0.9514220451500884,0.951343161792518
recall,0.9780701754385965,0.961038961038961,0.9090909090909091,0.9492753623188406,0.9494000151894889,0.9492753623188406
f1-score,0.9737991266375545,0.9288702928870294,0.9459459459459459,0.9492753623188406,0.9495384551568433,0.9494329739764924
support,228.0,231.0,231.0,0.9492753623188406,690.0,690.0
